ལྡེངས,ལྡེང
ལྡེབ,བལྡབས
ལྦོས,སྦོས
ལྷོངས,ལྷོང
ཤབས,ཤབ
ཤར,འཆར
ཤི,འཆི
ཤིགས,ཤིག
ཤུགས,ཤུག
ཤུངས,གཤུང
ཤུད,བཤུད
ཤུབས,ཤུབ
ཤུས,བཤུ
ཤོགས,འཆགས
ཤོངས,གཤོང
ཤོབས,ཤབ
ཤོམ,གཤོམ
ཤོམས,གཤོམ
ཤོར,འཆོར
ཤོལ,བཤལ
ཤོས,གཤོ
སིགས,གསིག
སུབས,སུབ
སུམས,སུམ
སུས,བསུ
སེད,གསེད
སོགས,གསོག
སོངས,བསང
སོད,གསོད
སོབས,གསོབ
སོམས,སེམས
སོས,གསོ
སྐུགས,སྐུག
སྐུངས,སྐུང
སྐུམས,སྐུམ
སྐུས,སྐུད
སྐེམས,སྐེམ
སྐོངས,སྐོང
སྐོམས,སྐེམ
སྐོས,སྐོ
སྐྱིས,སྐྱི
སྐྱུགས,སྐྱུག
སྐྱུངས,སྐྱུང
སྐྱེས,སྐྱེ
སྐྱོགས,སྐྱོག
སྐྱོམས,སྐྱོམ
སྐྱོས,སྐྱ
སྐྲངས,སྐྲང
སྐྲུས,སྐྲུ
སྐྲོགས,སྐྲོག
སྒོགས,སྒོག
སྒོངས,སྒོང
སྒོབས,སྒབ
སྒོམས,སྒོམ
སྒྱིངས,སྒྱིང
སྒྱོངས,སྒྱང
སྒྲིགས,སྒྲིག
སྒྲིབས,སྒྲིབ
སྒྲིམས,སྒྲིམ
སྒྲུགས,སྒྲུག
སྒྲུབས,སྒྲུབ
སྒྲེངས,སྒྲེང
སྒྲོགས,སྒྲོག
སྒྲོངས,སྒྲང
སྒྲོས,སྒྲོ
སྔག,བསྔགས
སྔོགས,སྔོག
སྔོངས,སྔངས
སྙས,སྙ
སྙིགས,སྙིག
སྙུགས,སྙུག
སྙུངས,སྙུང
སྙེགས,སྙེག
སྙེངས,སྙེང
སྙེམས,སྙེམ
སྙེས,སྙེ
སྙོབས,སྙོབ
སྙོམས,སྙོམ
སྟིངས,སྟིང
སྟིམས,སྟིམ
སྟུངས,སྟུང
སྟོབས,སྟོབ
སྡིགས,སྡིག
སྡུམས,སྡུམ
སྡུས,སྡུད
སྡེབས,སྡེབ
སྡོགས,སྡོག
སྡོངས,སྡོང
སྡོམས,སྡོམ
སྡོས,སྡོ
སྣུབས,སྣུབ
སྣེམས,སྣེམ
སྣོས,སྣོ
སྤང,སྤོང
སྤངས,སྤོང
སྤོགས,སྤོག
སྤོངས,སྤོང
སྤྱངས,སྤྱང
སྤྱོང,སྤྱང
སྦ,སྦེད
སྦགས,སྦག
སྦང,སྦོང
སྦངས,སྦོང
སྦམ,སྦོམ
སྦམས,སྦོམ
སྦས,སྦེད
སྦོགས,སྦག
སྦོངས,སྦོང
སྦོམས,སྦོམ
སྦྱང,སྦྱོང
སྦྱངས,སྦྱོང
སྦྱོངས,སྦྱོང
སྦྲགས,སྦྲག
སྦྲད,འབྲད
སྦྲེབས,སྦྲེབ
སྦྲོགས,སྦྲག
སྨོས,སྨྲ
སྨྱང,རྨྱང
སྨྱོས,སྨྱོ
སྨྲས,སྨྲ
སྨྲོས,སྨྲ
སྲིངས,སྲིང
སྲིས,སྲི
སྲུངས,སྲུང
སྲུབས,སྲུབ
སྲེགས,སྲེག
སྲེས,སྲེ
སྲོགས,སྲེག
སྲོངས,སྲོང
སྲོས,སྲོ
སླུས,སླུ
སླེབས,སླེབ
སླེས,སླེ
སློགས,སློག
སློངས,སློང
སློབས,སློབ
ཧྲོངས,ཧྲང
ཧྲོད,ཧྲད
